,Title,Release Year,Genres,Rating,Votes,Story
107,Chandigarh Kare Aashiqui,2021,"Comedy, Crime, Drama",6.8,"14,990","Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story."
108,Uri: The Surgical Strike,2019,"Action, Drama, History",8.2,"69,490
| Gross","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
109,Badla,2019,"Crime, Drama, Mystery",7.8,"30,092
| Gross",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.
110,Mission Majnu,2023,"Action, Drama, History",7.1,"42,993","In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan."
111,Gully Boy,2019,"Drama, Music, Romance",7.9,"42,331
| Gross",A coming-of-age story based on the lives of street rappers in Mumbai.
112,Gaslight,I) (2023,"Crime, Horror, Mystery",6.2,"24,643","Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing."
113,Raazi,2018,"Action, Drama, Thriller",7.7,"33,036",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
114,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",8.1,"94,458
| Gross",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
115,K.G.F: Chapter 1,2018,"Action, Crime, Drama",8.2,"94,539","In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F."
116,Kennedy,2023,"Action, Crime, Drama",5.8,133,"An insomniac ex-cop who dwells in different circumstances looking for redemption. The ex-cop, who is presumed dead for a long time, operates secretly for the corrupt system."
117,Akelli,2023,"Drama, Thriller",8.3,"5,631",An ordinary Indian girl gets trapped in a war-torn land and survival is her battle.
118,Haider,2014,"Action, Crime, Drama",8.0,"56,706
| Gross","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
119,Zero,III) (2018,"Comedy, Drama, Romance",5.2,"29,570","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life."
120,Sooryavanshi,2021,"Action, Crime, Thriller",6.1,"78,427","DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India, tries to bring down a terrorist organization with which he has a history."
121,Ghajini,2008,"Action, Drama, Mystery",7.3,"65,527
| Gross",A short-term memory loss patient goes on a killing spree in order to avenge the death of his ladylove.
122,Tiger Zinda Hai,2017,"Action, Adventure, Thriller",5.9,"31,915
| Gross","Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action drama that follows a daring rescue mission in Iraq."
123,Rama Banam,2023,"Action, Drama",4.3,490,"Two siblings, who despite their difference in ideologies come together to fight for their common goal."
124,Shershaah,2021,"Action, Biography, Drama",8.3,"126,861","Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
125,Don 2,2011,"Action, Crime, Thriller",7.1,"56,675
| Gross","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin."
126,Zindagi Na Milegi Dobara,2011,"Comedy, Drama, Musical",8.2,"83,485
| Gross",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
127,Talaash: The Answer Lies Within,2012,"Crime, Drama, Mystery",7.2,"44,274
| Gross","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie."
128,Talvar,2015,"Crime, Drama, Mystery",8.1,"37,148
| Gross",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
129,Masaan,2015,Drama,8.1,"29,988","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
130,Kathal: A Jackfruit Mystery,2023,"Comedy, Crime, Drama",6.7,"7,358",A local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself.
131,Ek Tha Tiger,2012,"Action, Adventure, Romance",5.6,"36,992
| Gross",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.
132,Mastaney,2023,"Action, Drama, History",9.0,"5,134","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are."
133,Mimi,I) (2021,"Comedy, Drama",7.8,"41,921",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.
134,IB 71,2023,"Action, Thriller",7.2,"9,475",A two- front war between Indian intelligence agencies and the Pakistani establishment.
135,Om Shanti Om,2007,"Action, Comedy, Drama",6.7,"47,847
| Gross","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
136,Bholaa,2023,"Action, Adventure, Crime",6.0,"21,830","After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust."
137,Barfi!,2012,"Comedy, Drama, Romance",8.1,"85,135
| Gross",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
138,War,2019,"Action, Adventure, Thriller",6.5,"30,781","Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins."
