Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
456,Quality Management,Bachelors,"$66,000","$90,800",62%
457,Bachelor of Science in Nursing,Bachelors,"$72,000","$90,700",85%
457,Speech Communication,Bachelors,"$53,300","$90,700",56%
459,Retailing,Bachelors,"$56,700","$90,500",33%
459,Visual Effects & Motion Graphics,Bachelors,"$54,100","$90,500",38%
461,Foreign Languages,Bachelors,"$55,600","$90,300",54%
462,Landscape Architecture,Bachelors,"$58,700","$90,200",65%
463,Global Studies,Bachelors,"$58,100","$90,100",47%
464,American Sign Language Interpreting,Bachelors,"$49,400","$89,900",87%
464,Spanish Language Teacher Education,Bachelors,"$55,100","$89,900",-
466,Technical & Scientific Communication,Bachelors,"$57,000","$89,800",35%
467,Broadcast & Cinematic Arts,Bachelors,"$48,000","$89,700",41%
468,Computer Animation,Bachelors,"$52,800","$89,600",41%
468,Geography,Bachelors,"$56,200","$89,600",52%
470,Environmental Resource Management,Bachelors,"$54,100","$89,500",64%
470,Fashion,Bachelors,"$54,900","$89,500",39%
470,Film Studies,Bachelors,"$51,000","$89,500",41%
470,Forestry,Bachelors,"$52,800","$89,500",68%
474,Business Leadership,Bachelors,"$56,800","$89,300",43%
474,Nursing Education,Bachelors,"$76,300","$89,300",-
476,English Language,Bachelors,"$50,900","$89,100",47%
477,Ancient History,Bachelors,"$51,700","$89,000",-
477,Botany,Bachelors,"$48,700","$89,000",71%
477,Geosciences,Bachelors,"$55,100","$89,000",62%
480,Computer Aided Design (CAD),Bachelors,"$54,700","$88,900",-
480,Digital Arts,Bachelors,"$50,800","$88,900",36%
482,Leadership,Bachelors,"$53,700","$88,700",55%
483,Automotive Technology & Service Management,Bachelors,"$59,300","$88,600",29%
483,Business Management & Administration,Bachelors,"$58,500","$88,600",53%
483,Business Management & Human Resources Management (HRM),Bachelors,"$54,600","$88,600",-
483,Human Resources Management (HRM),Bachelors,"$54,300","$88,600",55%
483,Radio/Television & Film Production,Bachelors,"$51,200","$88,600",40%
488,Allied Health,Bachelors,"$49,900","$88,500",77%
488,English Language & Literature,Bachelors,"$52,200","$88,500",44%
490,Marine Biology,Bachelors,"$48,500","$88,400",64%
490,Security Management,Bachelors,"$53,900","$88,400",-
492,Organizational Leadership,Bachelors,"$56,600","$88,300",57%
492,Public Administration,Bachelors,"$53,000","$88,300",57%
494,Forestry Management,Bachelors,"$54,600","$88,200",67%
494,Management (MGT),Bachelors,"$52,300","$88,200",-
496,Merchandising Management,Bachelors,"$53,500","$88,100",48%
497,Administrative Management,Bachelors,"$59,100","$88,000",47%
497,Spanish Language,Bachelors,"$54,300","$88,000",49%
497,Sports Management,Bachelors,"$51,200","$88,000",43%
500,Arts Management,Bachelors,"$45,200","$87,900",48%
500,Homeland Security,Bachelors,"$55,300","$87,900",71%
500,Electronic Media,Bachelors,"$50,700","$87,900",37%
503,3D Animation,Bachelors,"$56,900","$87,800",42%
503,Film Production,Bachelors,"$50,500","$87,800",37%
505,Marine Science,Bachelors,"$51,800","$87,600",61%
506,Information & Communication Technology,Bachelors,"$53,700","$87,500",54%
506,Mass Communication,Bachelors,"$50,700","$87,500",45%
506,Museum Studies,Bachelors,"$42,800","$87,500",37%
506,Technical Writing,Bachelors,"$63,300","$87,500",37%
510,Religious Studies,Bachelors,"$50,700","$87,400",52%
510,Travel Industry Management,Bachelors,"$58,700","$87,400",-
512,Art History,Bachelors,"$53,400","$87,200",44%
512,Fashion Merchandising,Bachelors,"$53,300","$87,200",30%
512,Nuclear Medicine Technology,Bachelors,"$68,800","$87,200",81%
515,Marketing & Advertising,Bachelors,"$55,400","$87,100",45%
516,Musicology,Bachelors,"$48,100","$87,000",-
517,Broadcast Journalism,Bachelors,"$49,800","$86,800",52%
518,Animation,Bachelors,"$50,900","$86,700",35%
519,Historic Preservation,Bachelors,"$48,300","$86,600",-
519,Music Performance,Bachelors,"$51,700","$86,600",56%
519,Organizational Leadership & Supervision,Bachelors,"$54,600","$86,600",53%
522,Multimedia,Bachelors,"$50,400","$86,500",45%
523,Business Technology,Bachelors,"$59,200","$86,400",51%
523,Radiologic Science,Bachelors,"$64,000","$86,400",80%
523,Human Nutrition,Bachelors,"$55,100","$86,400",82%
523,Acting,Bachelors,"$50,400","$86,400",48%
527,Liberal Arts,Bachelors,"$51,400","$86,300",52%
528,Apparel Merchandising,Bachelors,"$53,900","$86,200",34%
528,German Language & Literature,Bachelors,"$56,400","$86,200",44%
528,Organizational Management,Bachelors,"$55,500","$86,200",60%
531,Zoology,Bachelors,"$46,800","$86,100",66%
532,Creative Writing,Bachelors,"$51,200","$85,900",41%
533,Geomatics,Bachelors,"$57,800","$85,800",67%
534,Law Enforcement,Bachelors,"$52,800","$85,700",62%
535,Administration,Bachelors,"$49,200","$85,600",59%
535,Cytotechnology,Bachelors,"$66,800","$85,600",86%
535,Fashion Marketing & Management,Bachelors,"$54,400","$85,600",27%
538,Applied Management,Bachelors,"$49,800","$85,400",61%
538,Management & Leadership,Bachelors,"$59,500","$85,400",56%
540,Human Resources (HR),Bachelors,"$53,800","$85,300",55%
541,Animal Science & Management,Bachelors,"$51,500","$85,200",61%
542,Adult Education & Training,Bachelors,"$55,200","$85,100",78%
543,Agricultural Communication,Bachelors,"$51,300","$84,900",49%
543,Health & Fitness,Bachelors,"$44,100","$84,900",71%
545,Criminal Justice Administration,Bachelors,"$51,900","$84,800",61%
545,Emergency Management,Bachelors,"$58,100","$84,800",77%
545,Media Arts,Bachelors,"$51,300","$84,800",33%
545,Sociology & Anthropology,Bachelors,"$51,200","$84,800",53%
545,Radiology,Bachelors,"$62,300","$84,800",81%
550,Communication Design,Bachelors,"$58,500","$84,700",34%
550,Earth Science,Bachelors,"$56,800","$84,700",52%
550,Modern Languages,Bachelors,"$57,700","$84,700",55%
550,Training and Development,Bachelors,"$59,600","$84,700",-
554,Hospital Administration,Bachelors,"$59,800","$84,400",53%
554,Human Relations,Bachelors,"$51,100","$84,400",63%
556,Natural Resources,Bachelors,"$54,200","$84,300",58%
557,Ethnic Studies,Bachelors,"$54,500","$84,200",62%
557,Hotel & Restaurant Management,Bachelors,"$54,200","$84,200",49%
559,Broadcast Communication,Bachelors,"$45,900","$83,800",45%
559,Mass Media,Bachelors,"$45,800","$83,800",45%
561,Advertising & Graphic Design,Bachelors,"$53,000","$83,700",39%
561,Radiologic Technology,Bachelors,"$62,000","$83,700",81%
563,Merchandising,Bachelors,"$59,300","$83,600",32%
563,Romance Languages,Bachelors,"$57,400","$83,600",55%
565,Environmental Health Science,Bachelors,"$61,500","$83,500",-
566,Criminology,Bachelors,"$50,700","$83,400",54%
566,Psychology,Bachelors,"$51,000","$83,400",56%
568,Cardiopulmonary Science,Bachelors,"$56,500","$83,200",92%
568,Labor Studies,Bachelors,"$53,700","$83,200",51%
570,Medical Laboratory Technology,Bachelors,"$64,300","$83,000",83%
570,Visual Communications,Bachelors,"$51,200","$83,000",34%
572,Audio Engineering,Bachelors,"$53,800","$82,800",40%
573,Middle Eastern Studies,Bachelors,"$65,300","$82,700",47%
573,Health,Bachelors,"$49,600","$82,700",70%
575,Hospitality Management,Bachelors,"$53,100","$82,600",43%
575,Health Care Management,Bachelors,"$51,700","$82,600",75%
575,Painting & Printmaking,Bachelors,"$39,300","$82,600",46%
578,Multimedia & Web Design,Bachelors,"$55,700","$82,500",31%
579,Health Administration,Bachelors,"$48,700","$82,400",66%
579,Natural Resource Management,Bachelors,"$52,800","$82,400",54%
579,Psychology & Social Behavior,Bachelors,"$51,100","$82,400",58%
582,Communication Management,Bachelors,"$51,700","$82,300",45%
582,Health Sciences,Bachelors,"$50,700","$82,300",70%
582,Nutrition Science,Bachelors,"$57,100","$82,300",67%
582,Web Design,Bachelors,"$53,900","$82,300",29%
586,Health Management,Bachelors,"$50,400","$82,200",70%
586,Life Sciences,Bachelors,"$59,700","$82,200",60%
588,Anthropology,Bachelors,"$53,200","$82,100",47%
588,Music,Bachelors,"$51,000","$82,100",55%
590,Ecology,Bachelors,"$53,200","$82,000",59%
590,Human Resources Development,Bachelors,"$55,200","$82,000",51%
590,SocialStudies,Bachelors,"$52,700","$82,000",56%
593,New Media,Bachelors,"$51,600","$81,900",37%
593,Psychiatry,Bachelors,"$64,300","$81,900",50%
595,Sociology,Bachelors,"$52,800","$81,800",55%
596,Health Care Administration,Bachelors,"$52,100","$81,600",68%
597,Interior Design,Bachelors,"$51,300","$81,500",51%
597,Respiratory Care,Bachelors,"$61,800","$81,500",85%
599,Health Information Management,Bachelors,"$55,000","$81,300",68%
599,Art & Design,Bachelors,"$51,100","$81,300",39%
601,Child Psychology,Bachelors,"$48,400","$81,100",62%
602,Clinical Laboratory Science,Bachelors,"$61,700","$81,000",82%
602,Diagnostic Medical Imaging,Bachelors,"$68,300","$81,000",73%
602,Humanities,Bachelors,"$55,900","$81,000",54%
602,Medical Laboratory Science,Bachelors,"$62,700","$81,000",86%
602,Theater,Bachelors,"$51,200","$81,000",49%
607,Kinesiology,Bachelors,"$51,100","$80,900",66%
608,Exercise Physiology,Bachelors,"$49,100","$80,800",75%
608,Forensic Accounting,Bachelors,"$51,900","$80,800",44%
608,Secondary Education,Bachelors,"$50,700","$80,800",58%
611,Multidisciplinary Studies,Bachelors,"$49,600","$80,700",52%
612,Archaeology,Bachelors,"$51,100","$80,500",45%
612,Communication Arts,Bachelors,"$47,800","$80,500",40%
614,Arts & Science,Bachelors,"$51,700","$80,400",-
614,Illustration,Bachelors,"$51,300","$80,400",38%
614,Sustainability,Bachelors,"$54,900","$80,400",58%
617,Hotel & Restaurant Tourism,Bachelors,"$48,900","$80,300",-
617,Radiography,Bachelors,"$62,400","$80,300",83%
619,Media Communication,Bachelors,"$53,000","$80,200",44%
619,Respiratory Therapy,Bachelors,"$61,800","$80,200",83%
621,Applied Behavior Analysis,Bachelors,"$43,400","$80,000",88%
622,Technology Teacher Education,Bachelors,"$54,000","$79,800",-
623,Professional Studies,Bachelors,"$47,500","$79,300",67%
624,Communications Technology,Bachelors,"$52,500","$79,200",32%
625,Biological Anthropology,Bachelors,"$52,200","$79,000",46%
625,Art Therapy,Bachelors,"$46,100","$79,000",84%
625,Commercial Photography,Bachelors,"$48,900","$79,000",28%
628,Liberal Studies,Bachelors,"$51,000","$78,900",56%
628,Radio & Television,Bachelors,"$49,000","$78,900",40%
630,Nutrition,Bachelors,"$52,800","$78,600",65%
631,Plant Sciences,Bachelors,"$55,500","$78,400",57%
632,Graphic Design,Bachelors,"$51,300","$78,300",38%
633,Legal Studies,Bachelors,"$53,300","$78,200",52%
633,Nutrition & Dietetics,Bachelors,"$57,200","$78,200",71%
635,Turfgrass Management,Bachelors,"$53,300","$78,100",38%
636,Dietetics,Bachelors,"$57,500","$78,000",74%
636,Interdisciplinary Studies (IS),Bachelors,"$50,700","$78,000",57%
638,Fashion Design & Marketing,Bachelors,"$55,900","$77,900",50%
639,Applied Sociology,Bachelors,"$47,500","$77,800",57%
639,Hospital Management,Bachelors,"$62,300","$77,800",-
639,Religion,Bachelors,"$50,500","$77,800",56%
642,Medical Technology,Bachelors,"$61,000","$77,700",82%
643,Art Administration,Bachelors,"$45,600","$77,600",53%
643,Criminal Justice,Bachelors,"$48,600","$77,600",56%
643,Fine Arts,Bachelors,"$49,000","$77,600",45%
646,Criminal Law,Bachelors,"$62,800","$77,400",-
646,Forensic Science,Bachelors,"$51,300","$77,400",63%
648,Philosophy & Religious Studies,Bachelors,"$55,600","$77,300",61%
648,Public Health (PH),Bachelors,"$52,300","$77,300",70%
650,Speech-Language Pathology,Bachelors,"$49,600","$77,100",68%
651,Landscape Management,Bachelors,"$58,700","$77,000",-
651,Women's Studies,Bachelors,"$51,200","$77,000",60%
653,Forensic Psychology,Bachelors,"$48,300","$76,900",57%
653,Modern Language Spanish,Bachelors,"$51,100","$76,900",63%
655,Educational Studies (ED),Bachelors,"$45,300","$76,800",66%
655,Physical Geography,Bachelors,"$55,000","$76,800",58%
657,Culture Studies,Bachelors,"$50,700","$76,700",53%
657,Pastoral Studies,Bachelors,"$58,900","$76,700",-
659,Dramatic Art,Bachelors,"$47,100","$76,600",-
660,Music Industry,Bachelors,"$52,200","$76,400",38%
661,Performing Arts,Bachelors,"$51,300","$76,300",56%
662,African American & African Studies,Bachelors,"$54,300","$76,100",61%
663,Animal Science,Bachelors,"$46,800","$76,000",66%
663,Ornamental Horticulture,Bachelors,"$51,600","$76,000",67%
665,Hospitality & Tourism,Bachelors,"$51,400","$75,900",40%
666,Education,Bachelors,"$50,600","$75,800",65%
667,Foods & Nutrition,Bachelors,"$52,800","$75,300",68%
668,Fashion & Retail Management,Bachelors,"$55,800","$75,000",30%
669,Music Composition,Bachelors,"$49,400","$74,900",52%
669,Small Business Management,Bachelors,"$52,900","$74,900",36%
671,Clinical Nutrition,Bachelors,"$58,700","$74,800",-
672,Painting,Bachelors,"$47,400","$74,700",44%
673,Speech Pathology & Audiology,Bachelors,"$51,400","$74,600",75%
674,Psychology & Sociology,Bachelors,"$48,600","$74,400",53%
674,Physical Education Teaching,Bachelors,"$48,000","$74,400",68%
676,Clinical Psychology,Bachelors,"$47,500","$74,300",65%
677,Health Studies,Bachelors,"$49,500","$74,200",64%
677,Instrumental Music Teacher Education,Bachelors,"$48,000","$74,200",69%
679,Technical Theatre,Bachelors,"$46,400","$74,100",41%
680,Art,Bachelors,"$49,500","$73,900",46%
680,Social & Criminal Justice,Bachelors,"$49,900","$73,900",55%
682,Consumer Affairs,Bachelors,"$57,200","$73,800",44%
682,Family & Consumer Science,Bachelors,"$49,400","$73,800",61%
684,Network Technology,Bachelors,"$63,500","$73,700",60%
685,Photography,Bachelors,"$49,600","$73,600",39%
685,Video Production,Bachelors,"$48,600","$73,600",36%
687,International Trade,Bachelors,"$54,100","$73,400",44%
688,Horticulture & Agronomy,Bachelors,"$58,900","$73,200",-
688,Missions,Bachelors,"$45,400","$73,200",-
690,General Studies,Bachelors,"$49,600","$73,100",53%
690,Health Services Administration,Bachelors,"$49,000","$73,100",64%
692,Justice Studies,Bachelors,"$51,500","$73,000",49%
693,Culinary Arts,Bachelors,"$44,600","$72,800",55%
693,Physical Therapist Assistant Studies,Bachelors,"$55,100","$72,800",-
695,English Teacher Education,Bachelors,"$48,800","$72,600",56%
695,Exercise & Sports Science,Bachelors,"$48,000","$72,600",71%
695,Health & Exercise Science,Bachelors,"$46,900","$72,600",66%
695,Recreation & Leisure Studies,Bachelors,"$47,100","$72,600",59%
695,Sports Administration,Bachelors,"$49,700","$72,600",47%
700,Graphic Arts,Bachelors,"$48,000","$72,400",44%
701,Supervision & Management,Bachelors,"$48,000","$72,100",60%
701,Secondary English Teacher Education,Bachelors,"$49,800","$72,100",62%
703,Exercise Science,Bachelors,"$47,300","$72,000",72%
703,Interior Design & Merchandising,Bachelors,"$50,200","$72,000",41%
705,Health & Wellness,Bachelors,"$45,500","$71,900",69%
706,Restaurant & Food Service Management,Bachelors,"$50,100","$71,800",40%
707,Behavioral Science,Bachelors,"$49,800","$71,700",60%
707,Culinary Arts & Food Service Management,Bachelors,"$48,300","$71,700",48%
707,Event Management,Bachelors,"$48,200","$71,700",42%
707,Theology,Bachelors,"$49,600","$71,700",68%
711,Wildlife Management,Bachelors,"$44,500","$71,600",46%
712,Health & Physical Education Teaching,Bachelors,"$44,000","$71,500",62%
712,Ministry,Bachelors,"$41,500","$71,500",80%
712,Mortuary Science,Bachelors,"$48,800","$71,500",78%
715,Media Production,Bachelors,"$49,000","$71,200",35%
716,Communicative Disorders,Bachelors,"$53,300","$71,000",71%
716,Health Services Management,Bachelors,"$47,400","$71,000",87%
718,Paralegal Studies,Bachelors,"$45,200","$70,800",49%
718,Social Science Teacher Education,Bachelors,"$51,000","$70,800",-
720,Recreation Administration,Bachelors,"$54,200","$70,600",66%
720,Rehabilitation Counseling,Bachelors,"$44,100","$70,600",-
722,Audio Production,Bachelors,"$49,800","$70,500",45%
722,Radio Broadcasting,Bachelors,"$51,000","$70,500",39%
724,Community Health,Bachelors,"$52,500","$70,300",73%
725,Drawing,Bachelors,"$43,400","$70,100",37%
726,Dance,Bachelors,"$50,600","$69,900",59%
727,Music Teacher Education,Bachelors,"$47,700","$69,800",58%
728,Gender Studies,Bachelors,"$51,200","$69,700",55%
728,Photojournalism,Bachelors,"$46,800","$69,700",55%
730,Family & Community Services,Bachelors,"$48,400","$69,600",77%
731,Conservation Biology,Bachelors,"$48,100","$69,500",53%
731,Drawing & Painting,Bachelors,"$48,900","$69,500",45%
733,Organizational Administration,Bachelors,"$51,100","$69,400",-
733,Vocal Performance,Bachelors,"$48,400","$69,400",62%
735,Clinical Social Work (CSW),Bachelors,"$48,600","$69,200",-
735,Tourism & Travel,Bachelors,"$45,200","$69,200",38%
735,Tourism Management,Bachelors,"$48,900","$69,200",38%
738,Wildlife Biology,Bachelors,"$48,200","$68,900",58%
739,Teaching English as a Second Language (ESL),Bachelors,"$48,800","$68,800",67%
740,Parks & Recreation Management,Bachelors,"$49,000","$68,700",59%
741,Social Services,Bachelors,"$44,800","$68,500",78%
742,Elementary Special Education,Bachelors,"$51,200","$68,300",81%
743,Ceramics,Bachelors,"$49,500","$68,000",45%
743,Horticulture,Bachelors,"$48,400","$68,000",56%
743,Landscape Design,Bachelors,"$57,100","$68,000",62%
746,Rehabilitation Services,Bachelors,"$41,300","$67,600",74%
746,Speech & Hearing,Bachelors,"$51,400","$67,600",72%
748,Sculpture,Bachelors,"$44,700","$67,200",48%
749,Health Promotion,Bachelors,"$47,700","$67,000",71%
750,Athletic Training,Bachelors,"$47,700","$66,900",75%
751,Family Studies,Bachelors,"$45,000","$66,800",60%
752,History Teacher Education,Bachelors,"$51,800","$66,700",47%
752,Social Studies Teacher Education,Bachelors,"$49,200","$66,700",59%
754,Biblical Studies & Practical Ministries,Bachelors,"$45,400","$66,600",-
755,Communication Sciences & Disorders,Bachelors,"$49,900","$66,500",75%
756,Emergency Medical Services (EMS),Bachelors,"$47,300","$66,300",-
757,Deaf Studies,Bachelors,"$43,700","$66,100",-
758,Community Health Education,Bachelors,"$48,600","$65,800",70%
759,Musical Theatre,Bachelors,"$50,000","$65,500",46%
760,Pastoral Ministry,Bachelors,"$43,500","$65,200",76%
761,Bible Studies & Theology,Bachelors,"$44,800","$65,100",68%
762,Biblical Studies,Bachelors,"$47,000","$65,000",71%
763,Christian Ministry,Bachelors,"$43,000","$64,500",75%
764,Human Development & Family Studies,Bachelors,"$45,400","$64,400",63%
765,Church Ministries,Bachelors,"$43,600","$64,300",79%
766,Community Development,Bachelors,"$50,300","$63,600",69%
767,Music Therapy,Bachelors,"$48,500","$63,500",95%
768,Voice & Opera,Bachelors,"$38,700","$63,200",53%
769,Legal Assistant Studies,Bachelors,"$42,000","$63,000",39%
770,Health and Human Services,Bachelors,"$48,800","$62,900",64%
771,Home Economics,Bachelors,"$47,700","$62,800",69%
772,Special Education,Bachelors,"$46,400","$62,700",75%
773,Conflict Resolution,Bachelors,"$52,000","$62,100",50%
774,Educational Psychology,Bachelors,"$45,900","$61,800",-
774,Developmental Psychology,Bachelors,"$42,900","$61,800",-
776,Youth Ministry,Bachelors,"$42,800","$61,700",74%
777,Therapeutic Recreation,Bachelors,"$44,900","$61,500",83%
778,Community & Human Services,Bachelors,"$48,100","$61,300",79%
778,Social Work (SW),Bachelors,"$43,300","$61,300",76%
780,Elementary Education,Bachelors,"$45,800","$60,700",68%
781,Office Administration,Bachelors,"$43,400","$60,500",67%
782,Christian Education,Bachelors,"$45,300","$60,300",84%
783,Counseling,Bachelors,"$45,100","$59,600",79%
783,Human Services (HS),Bachelors,"$44,400","$59,600",70%
785,Health & Human Performance,Bachelors,"$43,000","$58,900",67%
786,Mental Health Counseling,Bachelors,"$40,600","$58,500",-
786,Middle School Education,Bachelors,"$47,200","$58,500",76%
788,Child Development,Bachelors,"$42,200","$57,900",73%
789,Recreational Therapy,Bachelors,"$44,900","$57,200",84%
790,Early Childhood & Elementary Education,Bachelors,"$43,400","$56,500",76%
791,Outdoor Education,Bachelors,"$42,200","$55,200",51%
792,Baking & Pastry Arts,Bachelors,"$42,400","$54,900",38%
793,Mental Health,Bachelors,"$42,700","$52,900",76%
794,Child & Family Studies,Bachelors,"$41,600","$52,700",73%
795,Equine Studies,Bachelors,"$40,300","$52,500",50%
796,Addictions Counseling,Bachelors,"$45,900","$52,200",78%
797,Nonprofit Administration,Bachelors,"$42,800","$52,100",72%
798,Early Childhood Education,Bachelors,"$41,700","$50,600",77%
799,Metalsmithing,Bachelors,"$44,700","$44,900",36%
